city;SEX RATIO (males per 100 females);AGE0-4;AGE5-9;AGE10-14;AGE15-19;AGE20-24;AGE25-29;AGE30-34;AGE35-39;AGE40-44;AG 45-49;AGE50-54;AGE55-59;AGE60-64;AGE65-69;AGE70-74;AGE75;gender;noEd;primary;secondary1;matric;diplomaAfterMatric;bachelor;masterPlus;
johannesburg;101.5;0.082;0.079;0.072;0.068;0.064;0.084;0.099;0.103;0.091;0.073;0.058;0.044;0.032;0.021;0.014;0.014;male;0.012;0.034;0.103;0.642;0.070;0.082;0.047;
johannesburg;101.5;0.081;0.08;0.076;0.071;0.068;0.087;0.098;0.095;0.077;0.063;0.053;0.044;0.036;0.027;0.02;0.024;female;0.00;1.00;2.00;3.00;5.00;6.00;7.00;
