location_id,countryID,longitude,latitude,locationName,isMobile,isMonitor,provider,sensorID,instruments,sensorParameterID,firstUpdated,lastUpdated
225416,ZA,27.4,-32.88,Zwelitsha,False,True,South Africa,"1303397, 4275862, 1303608, 4275816, 1303438, 1303508, 1303461",Government Monitor,"8, 35, 7, 19840, 10, 1, 9",2021-04-29T17:00:00Z,2023-04-19T06:00:00Z
225417,ZA,27.85578,-26.84508,Zamdela-NAQI,False,True,South Africa,"1303375, 4275916, 1303412, 4275675, 1303552, 1303637, 1303440, 1303452",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225418,ZA,29.24163,-25.92225,eMalahleni -MP Province,False,True,South Africa,"1303555, 4277274, 2018797, 4277267, 1303517, 1303491, 1303468",Government Monitor,"8, 35, 7, 19840, 10, 1, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225419,ZA,28.09889,-26.045,Buccleugh-NAQI,False,True,South Africa,"1303544, 6461332, 1316139, 6461331, 1303643, 1303444, 1303632, 1303478",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T16:00:00Z,2024-03-12T11:00:00Z
225420,ZA,32.03423,-28.76969,Scorpio - RBCAA,False,True,South Africa,1303401,Government Monitor,9,2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225421,ZA,26.1435,-26.17877,Lichtenburg,False,True,South Africa,"1313736, 4277253, 1313737, 4277268, 2000401, 2085681, 2085680, 1303489",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225422,ZA,18.54103,-33.85814,Bothasig,False,True,South Africa,"5079593, 1303521, 5079594, 1303492",Government Monitor,"35, 7, 19840, 9",2021-04-29T13:00:00Z,2024-03-02T04:00:00Z
225423,ZA,29.71648,-26.1512,Hendrina - SAWS,False,True,South Africa,"1303384, 5079595, 1303455, 5079596, 1303633, 1303497, 1303385, 1303406",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225424,ZA,28.08414,-26.42022,Kliprivier,False,True,South Africa,"1303522, 4277256, 1303535, 4277298, 1303605, 1303514, 1303586, 1303610",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225425,ZA,29.18647,-25.87786,eMalahleni - SAWS,False,True,South Africa,"1303622, 4279292, 1303423, 4279289, 1303437, 1338820, 1303458, 1303451",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-02-11T10:00:00Z
225426,ZA,28.23604,-25.97374,Olifantsfontein-NAQI,False,True,South Africa,"4275727, 1303499, 4275779, 1303372, 1303453, 1303654",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225427,ZA,26.63763,-26.95639,Kanana,False,True,South Africa,"8433999, 8433998, 8433997, 5079597, 5079598, 1303427",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225428,ZA,30.33739,-29.63758,Pietermaritzburg Airport - ORIBI,False,True,South Africa,"4275879, 1303493, 4275929, 1303607, 1303433, 1303454, 1303432",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225429,ZA,27.82618,-26.82278,AJ Jacobs,False,True,South Africa,"1303413, 4276061, 1303379, 4275715, 1303390, 1303664, 1303592",Government Monitor,"8, 35, 7, 19840, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225430,ZA,27.81674,-26.6885,Vanderbijlpark-NAQI,False,True,South Africa,"4275655, 2003200, 4276071, 1303590, 1303568, 1303657, 1303666",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225431,ZA,28.5847,-26.66285,Balfour,False,True,South Africa,"1348854, 4277280, 1303589, 4277260, 1303618, 1309475, 1316014, 1303479",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225432,ZA,29.40541,-23.88441,Capricorn,False,True,South Africa,"5977909, 1303588, 5977933, 1303506, 1303628, 1303591, 1303483",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225433,ZA,29.21083,-26.60556,Bosjesspruit,False,True,South Africa,"4277265, 1303645, 4277244, 1303429, 1303523, 1303531, 1303414",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T16:00:00Z,2024-03-11T08:00:00Z
225434,ZA,28.09294,-25.91167,Olievenhoutbosch-NAQI,False,True,South Africa,"1316015, 4304667, 1926055, 4276241, 1303550, 1303595, 1303480, 1303462",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225435,ZA,30.13438,-24.7315,Steelpoort,False,True,South Africa,"5977919, 1303450, 7608829, 1303548, 1303457, 1303369",Government Monitor,"35, 7, 19840, 10, 2, 9",2021-04-29T16:00:00Z,2023-12-31T09:00:00Z
225436,ZA,28.09373,-25.49283,Bodibeng-NAQI,False,True,South Africa,"1303368, 4280440, 1303420, 4280441, 1321835, 1320311, 1303574, 1303647",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-02-19T08:00:00Z
